"2020-06-15 00:01:08 - Shutting down ExecutorService 'applicationTaskExecutor'
""2020-06-15 00:01:12 - Starting FindthatbookApplication on Manishas-MBP with PID 39304 (/Users/manisha.kumari/Desktop/findthatbook/target/classes started by manisha.kumari in /Users/manisha.kumari/Desktop/findthatbook)
""2020-06-15 00:01:12 - No active profile set, falling back to default profiles: default
""2020-06-15 00:01:12 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2020-06-15 00:01:12 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2020-06-15 00:01:13 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
""2020-06-15 00:01:13 - Finished Spring Data repository scanning in 35ms. Found 1 MongoDB repository interfaces.
""2020-06-15 00:01:13 - Tomcat initialized with port(s): 8082 (http)
""2020-06-15 00:01:13 - Starting service [Tomcat]
""2020-06-15 00:01:13 - Starting Servlet engine: [Apache Tomcat/9.0.35]
""2020-06-15 00:01:13 - Initializing Spring embedded WebApplicationContext
""2020-06-15 00:01:13 - Root WebApplicationContext: initialization completed in 780 ms
""2020-06-15 00:01:13 - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
""2020-06-15 00:01:13 - Opened connection [connectionId{localValue:1, serverValue:40}] to localhost:27017
""2020-06-15 00:01:13 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2242615}
""2020-06-15 00:01:13 - LiveReload server is running on port 35729
""2020-06-15 00:01:14 - Initializing ExecutorService 'applicationTaskExecutor'
""2020-06-15 00:01:14 - Tomcat started on port(s): 8082 (http) with context path ''
""2020-06-15 00:01:14 - Started FindthatbookApplication in 1.62 seconds (JVM running for 2.94)
""2020-06-15 00:01:20 - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-06-15 00:01:20 - Initializing Servlet 'dispatcherServlet'
""2020-06-15 00:01:20 - Completed initialization in 4 ms
""2020-06-15 00:02:26 - Shutting down ExecutorService 'applicationTaskExecutor'
""2020-06-15 00:02:30 - Starting FindthatbookApplication on Manishas-MBP with PID 39320 (/Users/manisha.kumari/Desktop/findthatbook/target/classes started by manisha.kumari in /Users/manisha.kumari/Desktop/findthatbook)
""2020-06-15 00:02:30 - No active profile set, falling back to default profiles: default
""2020-06-15 00:02:30 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2020-06-15 00:02:30 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2020-06-15 00:02:30 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
""2020-06-15 00:02:30 - Finished Spring Data repository scanning in 37ms. Found 1 MongoDB repository interfaces.
""2020-06-15 00:02:31 - Tomcat initialized with port(s): 8082 (http)
""2020-06-15 00:02:31 - Starting service [Tomcat]
""2020-06-15 00:02:31 - Starting Servlet engine: [Apache Tomcat/9.0.35]
""2020-06-15 00:02:31 - Initializing Spring embedded WebApplicationContext
""2020-06-15 00:02:31 - Root WebApplicationContext: initialization completed in 960 ms
""2020-06-15 00:02:31 - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
""2020-06-15 00:02:31 - Opened connection [connectionId{localValue:1, serverValue:41}] to localhost:27017
""2020-06-15 00:02:31 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2205694}
""2020-06-15 00:02:31 - LiveReload server is running on port 35729
""2020-06-15 00:02:31 - Initializing ExecutorService 'applicationTaskExecutor'
""2020-06-15 00:02:31 - Tomcat started on port(s): 8082 (http) with context path ''
""2020-06-15 00:02:31 - Started FindthatbookApplication in 1.858 seconds (JVM running for 2.375)
""2020-06-15 00:02:42 - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-06-15 00:02:42 - Initializing Servlet 'dispatcherServlet'
""2020-06-15 00:02:42 - Completed initialization in 5 ms
""2020-06-15 00:02:48 - Opened connection [connectionId{localValue:2, serverValue:44}] to localhost:27017
""2020-06-15 00:07:04 - Shutting down ExecutorService 'applicationTaskExecutor'
""2020-06-15 00:07:04 - Closed connection [connectionId{localValue:2, serverValue:44}] to localhost:27017 because the pool has been closed.
""2020-06-15 00:07:07 - Starting FindthatbookApplication on Manishas-MBP with PID 39372 (/Users/manisha.kumari/Desktop/findthatbook/target/classes started by manisha.kumari in /Users/manisha.kumari/Desktop/findthatbook)
""2020-06-15 00:07:07 - No active profile set, falling back to default profiles: default
""2020-06-15 00:07:07 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2020-06-15 00:07:07 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2020-06-15 00:07:08 - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
""2020-06-15 00:07:08 - Finished Spring Data repository scanning in 36ms. Found 1 MongoDB repository interfaces.
